id,subject,body,category
1,IT Support Query #1,Please reset my system password.,IT Support
2,IT Support Query #2,My laptop is not connecting to the Wi-Fi network.,IT Support
3,IT Support Query #3,The printer in the 3rd floor office is not working.,IT Support
4,IT Support Query #4,The printer in the 3rd floor office is not working.,IT Support
5,IT Support Query #5,VPN connection keeps dropping frequently.,IT Support
6,IT Support Query #6,The printer in the 3rd floor office is not working.,IT Support
7,IT Support Query #7,Outlook is not syncing my emails.,IT Support
8,IT Support Query #8,Please reset my system password.,IT Support
9,IT Support Query #9,My laptop is not connecting to the Wi-Fi network.,IT Support
10,IT Support Query #10,Outlook is not syncing my emails.,IT Support
11,IT Support Query #11,My laptop is not connecting to the Wi-Fi network.,IT Support
12,IT Support Query #12,VPN connection keeps dropping frequently.,IT Support
13,IT Support Query #13,The printer in the 3rd floor office is not working.,IT Support
14,IT Support Query #14,VPN connection keeps dropping frequently.,IT Support
15,IT Support Query #15,Outlook is not syncing my emails.,IT Support
16,IT Support Query #16,VPN connection keeps dropping frequently.,IT Support
17,IT Support Query #17,VPN connection keeps dropping frequently.,IT Support
18,IT Support Query #18,Please reset my system password.,IT Support
19,IT Support Query #19,Please reset my system password.,IT Support
20,IT Support Query #20,Outlook is not syncing my emails.,IT Support
21,IT Support Query #21,My laptop is not connecting to the Wi-Fi network.,IT Support
22,IT Support Query #22,My laptop is not connecting to the Wi-Fi network.,IT Support
23,IT Support Query #23,Please reset my system password.,IT Support
24,IT Support Query #24,Outlook is not syncing my emails.,IT Support
25,IT Support Query #25,Outlook is not syncing my emails.,IT Support
26,IT Support Query #26,VPN connection keeps dropping frequently.,IT Support
27,IT Support Query #27,VPN connection keeps dropping frequently.,IT Support
28,IT Support Query #28,Please reset my system password.,IT Support
29,IT Support Query #29,Outlook is not syncing my emails.,IT Support
30,IT Support Query #30,Outlook is not syncing my emails.,IT Support
31,IT Support Query #31,Please reset my system password.,IT Support
32,IT Support Query #32,The printer in the 3rd floor office is not working.,IT Support
33,IT Support Query #33,Please reset my system password.,IT Support
34,IT Support Query #34,The printer in the 3rd floor office is not working.,IT Support
35,IT Support Query #35,The printer in the 3rd floor office is not working.,IT Support
36,IT Support Query #36,VPN connection keeps dropping frequently.,IT Support
37,IT Support Query #37,The printer in the 3rd floor office is not working.,IT Support
38,IT Support Query #38,VPN connection keeps dropping frequently.,IT Support
39,IT Support Query #39,Please reset my system password.,IT Support
40,HR Query #1,Can you update my bank details in the HR portal?,HR
41,HR Query #2,When will the appraisal process start?,HR
42,HR Query #3,I want to apply for sick leave for two days.,HR
43,HR Query #4,Please share my salary slip for last month.,HR
44,HR Query #5,Can you update my bank details in the HR portal?,HR
45,HR Query #6,When will the appraisal process start?,HR
46,HR Query #7,When will the appraisal process start?,HR
47,HR Query #8,Please share my salary slip for last month.,HR
48,HR Query #9,When will the appraisal process start?,HR
49,HR Query #10,Please share my salary slip for last month.,HR
50,HR Query #11,I want to apply for sick leave for two days.,HR
51,HR Query #12,I need the joining letter for my background check.,HR
52,HR Query #13,I need the joining letter for my background check.,HR
53,HR Query #14,Can you update my bank details in the HR portal?,HR
54,HR Query #15,I want to apply for sick leave for two days.,HR
55,HR Query #16,I need the joining letter for my background check.,HR
56,HR Query #17,Can you update my bank details in the HR portal?,HR
57,HR Query #18,Please share my salary slip for last month.,HR
58,HR Query #19,I want to apply for sick leave for two days.,HR
59,HR Query #20,Please share my salary slip for last month.,HR
60,HR Query #21,When will the appraisal process start?,HR
61,HR Query #22,I want to apply for sick leave for two days.,HR
62,HR Query #23,I want to apply for sick leave for two days.,HR
63,HR Query #24,Can you update my bank details in the HR portal?,HR
64,HR Query #25,Please share my salary slip for last month.,HR
65,HR Query #26,When will the appraisal process start?,HR
66,HR Query #27,When will the appraisal process start?,HR
67,HR Query #28,I want to apply for sick leave for two days.,HR
68,HR Query #29,I need the joining letter for my background check.,HR
69,HR Query #30,I need the joining letter for my background check.,HR
70,HR Query #31,When will the appraisal process start?,HR
71,HR Query #32,I need the joining letter for my background check.,HR
72,HR Query #33,Please share my salary slip for last month.,HR
73,HR Query #34,When will the appraisal process start?,HR
74,HR Query #35,I want to apply for sick leave for two days.,HR
75,HR Query #36,Please share my salary slip for last month.,HR
76,HR Query #37,I want to apply for sick leave for two days.,HR
77,HR Query #38,When will the appraisal process start?,HR
78,HR Query #39,I want to apply for sick leave for two days.,HR
79,Finance Query #1,Please provide invoice for last month’s purchase.,Finance
80,Finance Query #2,Please provide invoice for last month’s purchase.,Finance
81,Finance Query #3,My reimbursement request has not been approved yet.,Finance
82,Finance Query #4,There’s an error in my tax deduction for this month.,Finance
83,Finance Query #5,Can you share the expense policy document?,Finance
84,Finance Query #6,There’s an error in my tax deduction for this month.,Finance
85,Finance Query #7,There’s an error in my tax deduction for this month.,Finance
86,Finance Query #8,Can you share the expense policy document?,Finance
87,Finance Query #9,Please provide invoice for last month’s purchase.,Finance
88,Finance Query #10,My reimbursement request has not been approved yet.,Finance
89,Finance Query #11,Payment to vendor ABC is still pending.,Finance
90,Finance Query #12,Payment to vendor ABC is still pending.,Finance
91,Finance Query #13,My reimbursement request has not been approved yet.,Finance
92,Finance Query #14,There’s an error in my tax deduction for this month.,Finance
93,Finance Query #15,Payment to vendor ABC is still pending.,Finance
94,Finance Query #16,Payment to vendor ABC is still pending.,Finance
95,Finance Query #17,Can you share the expense policy document?,Finance
96,Finance Query #18,Please provide invoice for last month’s purchase.,Finance
97,Finance Query #19,There’s an error in my tax deduction for this month.,Finance
98,Finance Query #20,There’s an error in my tax deduction for this month.,Finance
99,Finance Query #21,Can you share the expense policy document?,Finance
