id,text,category,summary,ai_reply
139,Admin Query #22 projector functioning,Admin,Admin Query #22 projector functioning. Admin Query #23 projector not functioning.,"Hello, your admin request has been logged. We’ll ensure it’s resolved promptly."
17,IT Support Query #17 vpn connection keep dropping frequently,IT Support, IT Support Query #17 vpn connection keep dropping frequently.,"Hi, thanks for reaching out. We’ll look into your IT issue right away and keep you posted."
156,Admin Query #39 please book meeting room tomorrow,Admin, Admin Query #39 please book meeting room tomorrow.,"Hello, your admin request has been logged. We’ll ensure it’s resolved promptly."
97,Finance Query #19 there error tax deduction month,Finance,Finance Question #19: Is there an error tax deduction month? The answer is yes.,"Hi, your finance query has been received. Our team will review and follow up soon."
69,HR Query #30 need joining letter background check,HR,HR Query #30 need joining letter background check background check.,"Hello, we’ve received your HR-related request and will process it shortly. Thank you for your patience."
154,Admin Query #37 please book meeting room tomorrow,Admin, Admin Query #37 please book meeting room tomorrow.,"Hello, your admin request has been logged. We’ll ensure it’s resolved promptly."
56,HR Query #17 update bank detail hr portal,HR,HR Query #17 update bank detail hr portal. HR query #17 is about bank details.,"Hello, we’ve received your HR-related request and will process it shortly. Thank you for your patience."
16,IT Support Query #16 vpn connection keep dropping frequently,IT Support, IT Support Query #16 vpn connection keep dropping frequently.,"Hi, thanks for reaching out. We’ll look into your IT issue right away and keep you posted."
113,Finance Query #35 there error tax deduction month,Finance,Finance Question #35: Is there an error tax deduction month in the U.S.,"Hi, your finance query has been received. Our team will review and follow up soon."
112,Finance Query #34 reimbursement request approved yet,Finance,Finance Query #34 is about reimbursement requests. No reimbursement request has been approved yet.,"Hi, your finance query has been received. Our team will review and follow up soon."
